;1;261;6;13;14;16;20;25;288;36;295;42;45;304;51;307;54;311;312;314;315;64;65;323;324;69;71;73;330;75;77;333;334;79;335;80;337;83;85;87;89;91;93;94;95;98;355;356;107;110;111;115;374;119;375;120;121;122;123;124;127;390;392;137;399;401;402;156;417;162;164;425;427;428;431;180;436;181;437;439;185;193;449;197;198;211;468;469;216;220;221;223;229;231;232;234;236;239;244;249;250;251
401;5364;5935;3433;736;576;1710;845;569;3735;1595;2771;1130;1277;2265;915;1597;681;1884;1997;2316;3450;1319;1389;3093;2412;1087;723;1357;2239;1321;1249;2862;2524;1092;1875;1129;2008;1254;1892;1730;714;1908;1737;1764;1911;1110;1771;1937;1156;1075;1102;1188;3356;1057;3667;980;1033;908;832;850;1012;2244;3788;1342;106;0;1237;1269;1814;498;1085;3802;1194;1035;1070;1085;373;1319;414;1390;774;1596;1228;1009;1063;645;2289;2737;2269;3404;1021;1141;1718;1748;1826;2177;1966;923;1574;988;880;803
470;4091;4227;2160;3126;2966;1273;3235;2959;2462;3985;1498;1866;2013;1263;1809;812;1653;1099;1212;1531;1742;3709;3779;1385;1686;3477;3113;3747;1237;3711;3639;1589;816;3482;873;3519;300;3644;4282;4120;3104;1292;1300;1327;1474;1846;769;664;3546;3465;3492;3578;1648;3447;1959;3370;3423;3298;3222;3240;3402;4634;2080;2078;2496;2390;3627;3659;541;2888;1488;2529;3584;2289;3460;1332;2763;1566;2804;3780;3164;3986;3618;3399;3453;3035;1287;1464;4659;5794;3411;1877;4108;4138;4216;4567;4356;3313;3964;1724;1616;1539
471;5544;6115;3613;916;756;1890;1025;749;3915;1775;2951;1310;1457;2445;1095;1777;861;2064;2177;2496;3630;1499;1569;3273;2592;1267;903;1537;2419;1501;1429;3042;2704;1272;2055;1309;2188;1434;2072;1910;894;2088;1917;1944;2091;1290;1951;2117;1336;1255;1282;1368;3536;1237;3847;1160;1213;1088;1012;1030;1192;2424;3968;1522;286;180;1417;1449;1994;678;1265;3982;1374;1215;1250;1265;553;1499;594;1570;954;1776;1408;1189;1243;825;2469;2917;2449;3584;1201;1321;1898;1928;2006;2357;2146;1103;1754;1168;1060;983
