20;401
20;25
401;20
25;20
71;401
401;71
22;71
211;401
25;401
401;211
401;25
220;401
401;220
83;401
83;80
401;83
79;83
427;83
79;401
79;89
162;401
401;79
401;427
89;79
401;162
198;401
401;198
79;197
156;401
69;401
13;401
156;399
69;14
401;156
401;13
401;69
437;13
221;401
221;437
401;221
437;221
439;401
244;401
401;439
401;244
236;77
236;123
236;401
123;236
75;236
77;236
401;236
121;401
122;401
123;401
431;401
401;121
401;123
401;431
14;123
127;401
449;401
124;401
401;127
401;449
401;124
239;401
401;239
36;401
401;36
401;185
428;401
46;401
401;428
51;401
54;401
401;51
98;401
98;249
98;250
250;98
401;98
249;98
45;401
42;249
137;401
137;223
45;54
45;42
401;137
401;45
249;45
223;45
181;401
181;251
181;164
401;181
164;181
337;401
1;401
1;337
401;1
123;1
401;337
337;1
73;123
69;123
110;401
115;120
73;401
115;123
402;123
111;119
123;73
401;73
119;115
123;115
123;402
123;111
436;110
401;436
123;69
87;123
85;123
107;123
119;401
87;401
107;401
85;401
87;121
123;87
123;85
123;107
123;119
401;85
401;87
120;107
121;87
193;123
123;127
193;401
402;401
123;193
401;193
127;123
123;122
401;402
390;401
401;390
193;390
234;123
65;123
234;229
231;123
64;77
231;75
232;123
234;232
77;64
231;234
123;232
123;65
229;234
75;401
216;401
232;401
65;401
216;123
231;401
216;231
401;232
401;231
401;65
401;75
401;216
123;216
231;216
431;123
123;431
425;337
425;469
425;333
337;425
333;425
469;425
288;337
337;288
290;288
6;295
295;6
95;93
94;93
93;337
95;337
95;91
16;337
337;95
93;95
337;93
337;16
323;337
375;337
261;337
375;323
337;323
337;375
337;261
315;417
315;337
315;355
315;356
417;315
355;315
337;315
356;315
334;337
337;334
392;337
374;337
337;374
337;392
460;374
417;374
337;337
304;337
335;337
337;335
337;330
330;337
468;337
337;304
337;468
312;337
314;337
314;311
312;307
337;314
337;312
311;314
307;314
181;337
251;337
91;337
180;337
337;250
337;180
337;181
324;93
324;91
93;324
93;94
91;95
324;337
317;337
337;324
